GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jgoslin-parsers,org.lifstools.jgoslin.parser,Parser.ParsingErrors,0,12,0,0,0,4,0,1,0,1
jgoslin-parsers,org.lifstools.jgoslin.parser,ShorthandParserEventHandler,118,2507,21,77,22,409,23,94,3,64
jgoslin-parsers,org.lifstools.jgoslin.parser,LipidParser,6,135,3,7,2,26,3,7,0,5
jgoslin-parsers,org.lifstools.jgoslin.parser,Parser,129,2346,32,251,27,412,31,131,2,16
jgoslin-parsers,org.lifstools.jgoslin.parser,SwissLipidsParserEventHandler,134,772,18,30,25,153,18,35,5,24
jgoslin-parsers,org.lifstools.jgoslin.parser,Parser.Context,0,27,0,0,0,2,0,1,0,1
jgoslin-parsers,org.lifstools.jgoslin.parser,Parser.DPNode,0,24,0,0,0,8,0,1,0,1
jgoslin-parsers,org.lifstools.jgoslin.parser,BaseParserEventHandler,45,96,8,10,6,23,7,7,1,4
jgoslin-parsers,org.lifstools.jgoslin.parser,SumFormulaParserEventHandler,18,131,2,2,4,26,2,6,0,6
jgoslin-parsers,org.lifstools.jgoslin.parser,GoslinParserEventHandler,127,2352,23,70,17,377,22,70,0,36
jgoslin-parsers,org.lifstools.jgoslin.parser,Parser.MatchWords,0,39,0,0,0,2,0,1,0,1
jgoslin-parsers,org.lifstools.jgoslin.parser,LipidBaseParserEventHandler,25,485,15,64,2,60,14,34,0,6
jgoslin-parsers,org.lifstools.jgoslin.parser,FattyAcidParserEventHandler,342,5146,63,316,42,824,55,197,0,60
jgoslin-parsers,org.lifstools.jgoslin.parser,GoslinParser,0,30,0,0,0,8,0,4,0,4
jgoslin-parsers,org.lifstools.jgoslin.parser,Bitfield,18,215,4,16,2,35,4,14,0,8
jgoslin-parsers,org.lifstools.jgoslin.parser,TreeNode,2,57,2,6,0,13,2,5,0,3
jgoslin-parsers,org.lifstools.jgoslin.parser,HmdbParser,0,30,0,0,0,8,0,4,0,4
jgoslin-parsers,org.lifstools.jgoslin.parser,LipidMapsParserEventHandler,99,1202,23,47,20,238,19,51,1,34
jgoslin-parsers,org.lifstools.jgoslin.parser,LipidMapsParser,0,30,0,0,0,8,0,4,0,4
jgoslin-parsers,org.lifstools.jgoslin.parser,FattyAcidParser,0,46,0,0,0,10,0,6,0,6
jgoslin-parsers,org.lifstools.jgoslin.parser,HmdbParserEventHandler,132,917,16,34,26,174,20,38,7,26
jgoslin-parsers,org.lifstools.jgoslin.parser,SumFormulaParser,0,15,0,0,0,5,0,3,0,3
jgoslin-parsers,org.lifstools.jgoslin.parser,SwissLipidsParser,0,30,0,0,0,8,0,4,0,4
jgoslin-parsers,org.lifstools.jgoslin.parser,ShorthandParser,0,30,0,0,0,8,0,4,0,4
jgoslin-parsers,org.lifstools.jgoslin.domain,Cycle,162,1023,14,83,19,168,14,66,0,29
jgoslin-parsers,org.lifstools.jgoslin.domain,FunctionalGroup,53,469,5,27,7,111,7,54,3,42
jgoslin-parsers,org.lifstools.jgoslin.domain,LipidCompleteStructure,0,42,0,3,0,11,0,7,0,5
jgoslin-parsers,org.lifstools.jgoslin.domain,ConstraintViolationException,0,16,0,0,0,8,0,4,0,4
